acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.00102,https://api.spotify.com/v1/audio-analysis/183Klch3PBWLz2S6zNUVxR,0.51,163467,0.893,183Klch3PBWLz2S6zNUVxR,5.85e-05,9,0.201,-9.267,1,0.0342,142.657,4,https://api.spotify.com/v1/tracks/183Klch3PBWLz2S6zNUVxR,audio_features,spotify:track:183Klch3PBWLz2S6zNUVxR,0.934,Back In The U.S.S.R. - 2018 Mix
0.0904,https://api.spotify.com/v1/audio-analysis/21pC0RPgkThjHlwpmCtxGb,0.395,234973,0.538,21pC0RPgkThjHlwpmCtxGb,0.000453,2,0.0685,-10.3,1,0.0456,150.785,4,https://api.spotify.com/v1/tracks/21pC0RPgkThjHlwpmCtxGb,audio_features,spotify:track:21pC0RPgkThjHlwpmCtxGb,0.369,Dear Prudence - 2018 Mix
0.00236,https://api.spotify.com/v1/audio-analysis/0bYmYFbEAADKAlHdJqZ1gL,0.529,137707,0.555,0bYmYFbEAADKAlHdJqZ1gL,0.003,7,0.093,-8.839,0,0.0508,120.356,4,https://api.spotify.com/v1/tracks/0bYmYFbEAADKAlHdJqZ1gL,audio_features,spotify:track:0bYmYFbEAADKAlHdJqZ1gL,0.615,Glass Onion - 2018 Mix
0.149,https://api.spotify.com/v1/audio-analysis/02FJNRUlB28e1F0R9uP2s1,0.803,188813,0.776,02FJNRUlB28e1F0R9uP2s1,0.00471,10,0.222,-7.561,1,0.0333,113.193,4,https://api.spotify.com/v1/tracks/02FJNRUlB28e1F0R9uP2s1,audio_features,spotify:track:02FJNRUlB28e1F0R9uP2s1,0.969,"Ob-La-Di, Ob-La-Da - 2018 Mix"
0.278,https://api.spotify.com/v1/audio-analysis/76YBf6AwWhPG62H2LZftFQ,0.749,53000,0.689,76YBf6AwWhPG62H2LZftFQ,0.759,9,0.796,-10.883,0,0.0346,89.897,4,https://api.spotify.com/v1/tracks/76YBf6AwWhPG62H2LZftFQ,audio_features,spotify:track:76YBf6AwWhPG62H2LZftFQ,0.299,Wild Honey Pie - 2018 Mix
0.295,https://api.spotify.com/v1/audio-analysis/7KXaC0HCD4VoIZOzWfdirZ,0.659,194187,0.56,7KXaC0HCD4VoIZOzWfdirZ,0.0,0,0.683,-9.561,1,0.0648,114.796,4,https://api.spotify.com/v1/tracks/7KXaC0HCD4VoIZOzWfdirZ,audio_features,spotify:track:7KXaC0HCD4VoIZOzWfdirZ,0.738,The Continuing Story Of Bungalow Bill - 2018 Mix
0.00196,https://api.spotify.com/v1/audio-analysis/0ZqSsO2xoVvcrhpiRuqCmt,0.421,285280,0.668,0ZqSsO2xoVvcrhpiRuqCmt,0.0172,2,0.307,-9.234,1,0.0364,115.124,4,https://api.spotify.com/v1/tracks/0ZqSsO2xoVvcrhpiRuqCmt,audio_features,spotify:track:0ZqSsO2xoVvcrhpiRuqCmt,0.635,While My Guitar Gently Weeps - 2018 Mix
0.131,https://api.spotify.com/v1/audio-analysis/3z2ngCk1Us5E0DtNGczXwJ,0.461,164520,0.534,3z2ngCk1Us5E0DtNGczXwJ,5.63e-06,9,0.107,-9.912,0,0.0592,138.935,4,https://api.spotify.com/v1/tracks/3z2ngCk1Us5E0DtNGczXwJ,audio_features,spotify:track:3z2ngCk1Us5E0DtNGczXwJ,0.459,Happiness Is A Warm Gun - 2018 Mix
0.788,https://api.spotify.com/v1/audio-analysis/4BtpBz9IIamSuYJ26Qoi8G,0.641,148480,0.328,4BtpBz9IIamSuYJ26Qoi8G,7.77e-05,10,0.157,-10.709,1,0.0313,89.212,4,https://api.spotify.com/v1/tracks/4BtpBz9IIamSuYJ26Qoi8G,audio_features,spotify:track:4BtpBz9IIamSuYJ26Qoi8G,0.858,Martha My Dear - 2018 Mix
0.496,https://api.spotify.com/v1/audio-analysis/52efrg776bHRucNKHRWwkE,0.44,123400,0.485,52efrg776bHRucNKHRWwkE,1.11e-05,9,0.508,-10.989,1,0.28,69.925,4,https://api.spotify.com/v1/tracks/52efrg776bHRucNKHRWwkE,audio_features,spotify:track:52efrg776bHRucNKHRWwkE,0.717,I'm So Tired - 2018 Mix
0.825,https://api.spotify.com/v1/audio-analysis/2oMVSmJx1l2FVXjVbx5DTc,0.649,138360,0.123,2oMVSmJx1l2FVXjVbx5DTc,3.14e-06,7,0.0627,-15.657,1,0.0396,93.82,4,https://api.spotify.com/v1/tracks/2oMVSmJx1l2FVXjVbx5DTc,audio_features,spotify:track:2oMVSmJx1l2FVXjVbx5DTc,0.358,Blackbird - 2018 Mix
0.2,https://api.spotify.com/v1/audio-analysis/1koFbbNy8BJvG63B0ExZEQ,0.527,124307,0.471,1koFbbNy8BJvG63B0ExZEQ,0.0,8,0.0981,-9.901,1,0.0314,92.583,4,https://api.spotify.com/v1/tracks/1koFbbNy8BJvG63B0ExZEQ,audio_features,spotify:track:1koFbbNy8BJvG63B0ExZEQ,0.571,Piggies - 2018 Mix
