acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.788,https://api.spotify.com/v1/audio-analysis/5WO1gmX6aI6kToQggDkolN,0.347,201759,0.297,5WO1gmX6aI6kToQggDkolN,0.0,5,0.113,-9.463,1,0.0487,205.641,4,https://api.spotify.com/v1/tracks/5WO1gmX6aI6kToQggDkolN,audio_features,spotify:track:5WO1gmX6aI6kToQggDkolN,0.158,Love Me the Same
0.122,https://api.spotify.com/v1/audio-analysis/4e9rEIp7jCIi8gIovPWpGq,0.739,200400,0.698,4e9rEIp7jCIi8gIovPWpGq,0.0,11,0.0824,-4.826,0,0.149,108.917,4,https://api.spotify.com/v1/tracks/4e9rEIp7jCIi8gIovPWpGq,audio_features,spotify:track:4e9rEIp7jCIi8gIovPWpGq,0.715,Control (feat. Bryce Vine & Dan Caplen)
0.106,https://api.spotify.com/v1/audio-analysis/34awK00Tgp6KW6jgxiY5mR,0.796,196118,0.603,34awK00Tgp6KW6jgxiY5mR,0.0,4,0.125,-5.118,0,0.0379,98.011,4,https://api.spotify.com/v1/tracks/34awK00Tgp6KW6jgxiY5mR,audio_features,spotify:track:34awK00Tgp6KW6jgxiY5mR,0.57,Closer To You (feat. Sinéad Harnett)
0.117,https://api.spotify.com/v1/audio-analysis/30fRQc5shauvHRMhoGkmRq,0.667,230353,0.8,30fRQc5shauvHRMhoGkmRq,0.0,6,0.0985,-2.278,0,0.124,157.063,4,https://api.spotify.com/v1/tracks/30fRQc5shauvHRMhoGkmRq,audio_features,spotify:track:30fRQc5shauvHRMhoGkmRq,0.803,Hosanna (feat. Dave B)
0.0696,https://api.spotify.com/v1/audio-analysis/5d5ycUFRQo1yj50wsfkB7g,0.654,176043,0.58,5d5ycUFRQo1yj50wsfkB7g,0.0,8,0.27,-3.846,1,0.0562,155.973,4,https://api.spotify.com/v1/tracks/5d5ycUFRQo1yj50wsfkB7g,audio_features,spotify:track:5d5ycUFRQo1yj50wsfkB7g,0.372,4am
0.0499,https://api.spotify.com/v1/audio-analysis/1DioBDjkEhMrGR81yErPbK,0.803,184773,0.842,1DioBDjkEhMrGR81yErPbK,8.34e-05,1,0.103,-5.689,1,0.0584,120.024,4,https://api.spotify.com/v1/tracks/1DioBDjkEhMrGR81yErPbK,audio_features,spotify:track:1DioBDjkEhMrGR81yErPbK,0.735,Trouble (feat. Ms Banks) - One Bit Remix
0.00374,https://api.spotify.com/v1/audio-analysis/7BnapHphaa3xIphUtKYJZi,0.597,302867,0.905,7BnapHphaa3xIphUtKYJZi,0.00953,8,0.0885,-4.5,1,0.0497,174.979,4,https://api.spotify.com/v1/tracks/7BnapHphaa3xIphUtKYJZi,audio_features,spotify:track:7BnapHphaa3xIphUtKYJZi,0.173,Trouble (feat. Ms Banks) - Calyx & TeeBee Remix
0.312,https://api.spotify.com/v1/audio-analysis/6SpLaZg23SL5Pq8ANGNhvD,0.67,188475,0.596,6SpLaZg23SL5Pq8ANGNhvD,0.0,5,0.165,-7.399,0,0.109,93.075,4,https://api.spotify.com/v1/tracks/6SpLaZg23SL5Pq8ANGNhvD,audio_features,spotify:track:6SpLaZg23SL5Pq8ANGNhvD,0.39,Trouble (feat. Ms Banks) - Monro Remix
0.63,https://api.spotify.com/v1/audio-analysis/09i8D88R76VSTfFhPG5D6j,0.577,212881,0.662,09i8D88R76VSTfFhPG5D6j,0.0,8,0.152,-7.229,1,0.0501,174.931,4,https://api.spotify.com/v1/tracks/09i8D88R76VSTfFhPG5D6j,audio_features,spotify:track:09i8D88R76VSTfFhPG5D6j,0.899,Trouble (feat. Ms Banks) - Acoustic
0.23,https://api.spotify.com/v1/audio-analysis/2pjyceds9OpyZniRZsr6tA,0.613,202259,0.716,2pjyceds9OpyZniRZsr6tA,0.0,5,0.129,-3.87,0,0.161,175.098,3,https://api.spotify.com/v1/tracks/2pjyceds9OpyZniRZsr6tA,audio_features,spotify:track:2pjyceds9OpyZniRZsr6tA,0.651,Trouble (feat. Ms Banks)
0.137,https://api.spotify.com/v1/audio-analysis/4n6m58T4smiRVdjH6VAwaV,0.685,203198,0.784,4n6m58T4smiRVdjH6VAwaV,0.0,11,0.259,-3.239,0,0.0474,98.074,4,https://api.spotify.com/v1/tracks/4n6m58T4smiRVdjH6VAwaV,audio_features,spotify:track:4n6m58T4smiRVdjH6VAwaV,0.712,Two Fingers
