acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.811,https://api.spotify.com/v1/audio-analysis/2tYNLyuPAMJCg8rTCLOdSR,0.664,80827,0.352,2tYNLyuPAMJCg8rTCLOdSR,0.0634,9,0.344,-18.43,1,0.118,89.964,4,https://api.spotify.com/v1/tracks/2tYNLyuPAMJCg8rTCLOdSR,audio_features,spotify:track:2tYNLyuPAMJCg8rTCLOdSR,0.498,相合傘 - Broken Radio Version
0.622,https://api.spotify.com/v1/audio-analysis/5IVQP4Z15i5sXFEIryGQpE,0.771,256867,0.387,5IVQP4Z15i5sXFEIryGQpE,0.824,9,0.107,-11.336,0,0.0592,158.021,4,https://api.spotify.com/v1/tracks/5IVQP4Z15i5sXFEIryGQpE,audio_features,spotify:track:5IVQP4Z15i5sXFEIryGQpE,0.724,薔薇と野獣 - New ver.
0.427,https://api.spotify.com/v1/audio-analysis/6MJYxOT5suIXR813utxeCR,0.825,234307,0.296,6MJYxOT5suIXR813utxeCR,0.89,2,0.0947,-19.238,1,0.081,110.053,4,https://api.spotify.com/v1/tracks/6MJYxOT5suIXR813utxeCR,audio_features,spotify:track:6MJYxOT5suIXR813utxeCR,0.653,恋は桃色 - New ver.
0.868,https://api.spotify.com/v1/audio-analysis/5kszTqgVSEKg9FMLaJEvsS,0.748,191760,0.32,5kszTqgVSEKg9FMLaJEvsS,0.928,5,0.103,-16.46,1,0.0541,81.981,4,https://api.spotify.com/v1/tracks/5kszTqgVSEKg9FMLaJEvsS,audio_features,spotify:track:5kszTqgVSEKg9FMLaJEvsS,0.407,住所不定無職低収入 - New ver.
0.159,https://api.spotify.com/v1/audio-analysis/1HSRRG7DsbnIv6cIAeE1y7,0.656,186133,0.631,1HSRRG7DsbnIv6cIAeE1y7,0.745,7,0.0778,-14.692,1,0.126,197.907,4,https://api.spotify.com/v1/tracks/1HSRRG7DsbnIv6cIAeE1y7,audio_features,spotify:track:1HSRRG7DsbnIv6cIAeE1y7,0.756,福は内 鬼は外 - New ver.
0.988,https://api.spotify.com/v1/audio-analysis/1hYqf5pN6hgwVf6cdnDpCP,0.477,181307,0.117,1hYqf5pN6hgwVf6cdnDpCP,0.913,0,0.649,-17.928,1,0.0389,101.145,4,https://api.spotify.com/v1/tracks/1hYqf5pN6hgwVf6cdnDpCP,audio_features,spotify:track:1hYqf5pN6hgwVf6cdnDpCP,0.235,パーティー - New ver.
0.985,https://api.spotify.com/v1/audio-analysis/6Xxg1RE0UVHH8bcsfqkvoa,0.733,203200,0.203,6Xxg1RE0UVHH8bcsfqkvoa,0.0738,7,0.111,-17.859,0,0.0445,153.892,4,https://api.spotify.com/v1/tracks/6Xxg1RE0UVHH8bcsfqkvoa,audio_features,spotify:track:6Xxg1RE0UVHH8bcsfqkvoa,0.741,冬越え - New ver.
0.841,https://api.spotify.com/v1/audio-analysis/7rUcsLBEranlc5XPDMNeMc,0.785,221560,0.411,7rUcsLBEranlc5XPDMNeMc,0.904,0,0.108,-15.509,1,0.0568,147.925,4,https://api.spotify.com/v1/tracks/7rUcsLBEranlc5XPDMNeMc,audio_features,spotify:track:7rUcsLBEranlc5XPDMNeMc,0.72,終りの季節 - New ver.
0.603,https://api.spotify.com/v1/audio-analysis/6d19d2TZWMD394r1DxzCKw,0.818,208667,0.29,6d19d2TZWMD394r1DxzCKw,0.848,7,0.129,-12.443,1,0.2,85.954,4,https://api.spotify.com/v1/tracks/6d19d2TZWMD394r1DxzCKw,audio_features,spotify:track:6d19d2TZWMD394r1DxzCKw,0.941,CHOO CHOO ガタゴト・アメリカ編
0.364,https://api.spotify.com/v1/audio-analysis/1p7qC7SwDN6oHJZ6VfefXC,0.882,266973,0.141,1p7qC7SwDN6oHJZ6VfefXC,0.0205,1,0.104,-14.952,1,0.0476,150.098,3,https://api.spotify.com/v1/tracks/1p7qC7SwDN6oHJZ6VfefXC,audio_features,spotify:track:1p7qC7SwDN6oHJZ6VfefXC,0.712,僕は一寸・夏編
