acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.192,https://api.spotify.com/v1/audio-analysis/5iDB4DkBSTRdg37Yd3EWY8,0.78,219987,0.636,5iDB4DkBSTRdg37Yd3EWY8,0.0567,7,0.208,-7.474,1,0.0325,113.02,4,https://api.spotify.com/v1/tracks/5iDB4DkBSTRdg37Yd3EWY8,audio_features,spotify:track:5iDB4DkBSTRdg37Yd3EWY8,0.968,あこがれ
0.533,https://api.spotify.com/v1/audio-analysis/7heYeIgBztz0ZOt1fBEL7b,0.701,165627,0.626,7heYeIgBztz0ZOt1fBEL7b,0.615,2,0.123,-7.39,1,0.0368,127.01,4,https://api.spotify.com/v1/tracks/7heYeIgBztz0ZOt1fBEL7b,audio_features,spotify:track:7heYeIgBztz0ZOt1fBEL7b,0.708,天気予報
0.0688,https://api.spotify.com/v1/audio-analysis/7IOaqjOwSxeHZD3kLK3d2I,0.787,265400,0.374,7IOaqjOwSxeHZD3kLK3d2I,0.367,7,0.0997,-8.82,1,0.0305,96.023,4,https://api.spotify.com/v1/tracks/7IOaqjOwSxeHZD3kLK3d2I,audio_features,spotify:track:7IOaqjOwSxeHZD3kLK3d2I,0.699,忘れる
0.221,https://api.spotify.com/v1/audio-analysis/6IsRkhP74Mxs34BYlwE5vZ,0.793,145253,0.478,6IsRkhP74Mxs34BYlwE5vZ,0.108,7,0.0825,-9.621,1,0.0607,123.978,4,https://api.spotify.com/v1/tracks/6IsRkhP74Mxs34BYlwE5vZ,audio_features,spotify:track:6IsRkhP74Mxs34BYlwE5vZ,0.97,真夜中
0.0586,https://api.spotify.com/v1/audio-analysis/2sbzt8fEdR76K71XBBeShJ,0.8,243240,0.477,2sbzt8fEdR76K71XBBeShJ,0.205,1,0.0515,-8.003,0,0.045,100.015,4,https://api.spotify.com/v1/tracks/2sbzt8fEdR76K71XBBeShJ,audio_features,spotify:track:2sbzt8fEdR76K71XBBeShJ,0.936,オブジェ
0.317,https://api.spotify.com/v1/audio-analysis/0vbBdzSXZcDowqhJDW7sMG,0.816,264787,0.438,0vbBdzSXZcDowqhJDW7sMG,0.0258,11,0.0742,-10.118,0,0.0411,117.994,4,https://api.spotify.com/v1/tracks/0vbBdzSXZcDowqhJDW7sMG,audio_features,spotify:track:0vbBdzSXZcDowqhJDW7sMG,0.912,船の上
0.153,https://api.spotify.com/v1/audio-analysis/01vek7ZFdLuDt3wwBgQult,0.911,470240,0.538,01vek7ZFdLuDt3wwBgQult,0.139,1,0.251,-9.325,1,0.21,117.973,4,https://api.spotify.com/v1/tracks/01vek7ZFdLuDt3wwBgQult,audio_features,spotify:track:01vek7ZFdLuDt3wwBgQult,0.793,漂う船
0.153,https://api.spotify.com/v1/audio-analysis/0vVDIs6NjCsEDWlRpDrx4M,0.831,261227,0.459,0vVDIs6NjCsEDWlRpDrx4M,0.102,0,0.0906,-8.355,0,0.0355,89.987,4,https://api.spotify.com/v1/tracks/0vVDIs6NjCsEDWlRpDrx4M,audio_features,spotify:track:0vVDIs6NjCsEDWlRpDrx4M,0.831,キッズ
0.657,https://api.spotify.com/v1/audio-analysis/29VCiFehVe4I6R7HVzlwAK,0.666,304360,0.616,29VCiFehVe4I6R7HVzlwAK,0.00547,7,0.0766,-11.297,1,0.0305,127.07,4,https://api.spotify.com/v1/tracks/29VCiFehVe4I6R7HVzlwAK,audio_features,spotify:track:29VCiFehVe4I6R7HVzlwAK,0.823,霧の中
0.211,https://api.spotify.com/v1/audio-analysis/1jhUeSpXTRrHsGaZ4pU4ku,0.416,296520,0.312,1jhUeSpXTRrHsGaZ4pU4ku,0.618,9,0.066,-8.414,1,0.0351,96.03,4,https://api.spotify.com/v1/tracks/1jhUeSpXTRrHsGaZ4pU4ku,audio_features,spotify:track:1jhUeSpXTRrHsGaZ4pU4ku,0.492,幸せな話
